_id,id,geo_point_2d,geo_shape,name,detalle
1,0,"19.4429909285,-99.116101333","{""type"": ""MultiLineString"", ""coordinates"": [[[-99.1070652, 19.482574], [-99.1080093, 19.4743304], [-99.1119307, 19.4647057], [-99.1139048, 19.4580545], [-99.1161579, 19.4488638], [-99.1182554, 19.4389745], [-99.1194355, 19.4288468], [-99.1205406, 19.4216528], [-99.1217637, 19.4091258], [-99.1216993, 19.4027355]]]}",Línea 4,Línea 4
2,1,"19.4079089074,-99.1286333236","{""type"": ""MultiLineString"", ""coordinates"": [[[-99.187097, 19.4031605], [-99.1788948, 19.4062317], [-99.1684502, 19.406171], [-99.1552055, 19.4066618], [-99.1448736, 19.407021], [-99.1357434, 19.4084883], [-99.1217637, 19.4091258], [-99.1128802, 19.4085693], [-99.1030419, 19.4085693], [-99.0912294, 19.4084529], [-99.0824747, 19.4072234], [-99.0722072, 19.4153591]]]}",Línea 9,Línea 9
3,2,"19.40702104,-99.14433718","{""type"": ""Point"", ""coordinates"": [-99.14433718, 19.40702104]}",Lázaro Cárdenas,Metro 9
4,3,"19.49039233,-99.173702","{""type"": ""Point"", ""coordinates"": [-99.173702, 19.49039233]}",Ferrería,Metro 6
5,4,"19.4146103,-99.07262564","{""type"": ""Point"", ""coordinates"": [-99.07262564, 19.4146103]}",Pantitlán_1,Metro Línea A correspondencia con líneas 1 5 y 9.
6,5,"19.45913691,-99.18803573","{""type"": ""Point"", ""coordinates"": [-99.18803573, 19.45913691]}",Tacuba_1,Metro Línea 2 correspondencia con línea 7.
7,6,"19.48231101,-99.10554171","{""type"": ""Point"", ""coordinates"": [-99.10554171, 19.48231101]}",Martín Carrera_1_2,Metro Línea 6 correspondencia con línea 4.
8,7,"19.40425847,-99.12120581","{""type"": ""Point"", ""coordinates"": [-99.12120581, 19.40425847]}",Santa Anita_1,Metro Línea 4 correspondencia con líneas 8.
9,8,"19.4613523,-99.06114578","{""type"": ""Point"", ""coordinates"": [-99.06114578, 19.4613523]}",Villa de Aragón,Metro B
10,9,"19.49448847,-99.19593215","{""type"": ""Point"", ""coordinates"": [-99.19593215, 19.49448847]}",Tezozómoc,Metro 6
11,10,"19.51470467,-99.03568625","{""type"": ""Point"", ""coordinates"": [-99.03568625, 19.51470467]}",Tecnológico,Metro B
12,11,"19.44864628,-99.17122364","{""type"": ""Point"", ""coordinates"": [-99.17122364, 19.44864628]}",Colegio Militar,Metro 2
13,12,"19.42025648,-99.17658806","{""type"": ""Point"", ""coordinates"": [-99.17658806, 19.42025648]}",Chapultepec,Metro 1
14,13,"19.32025578,-99.08486724","{""type"": ""Point"", ""coordinates"": [-99.08486724, 19.32025578]}",Calle 11,Metro 12
15,14,"19.345135,-99.063367","{""type"": ""Point"", ""coordinates"": [-99.063367, 19.345135]}",Constitución de 1917,Metro 8
16,15,"19.33597857,-99.17657733","{""type"": ""Point"", ""coordinates"": [-99.17657733, 19.33597857]}",Copilco,Metro 3
17,16,"19.458383,-99.188501","{""type"": ""Point"", ""coordinates"": [-99.188501, 19.458383]}",Tacuba,Metro Línea 7 correspondencia con línea 2.
18,17,"19.47415847,-99.10779476","{""type"": ""Point"", ""coordinates"": [-99.10779476, 19.47415847]}",Talismán_1_2,Metro 4
19,18,"19.43380448,-99.08820391","{""type"": ""Point"", ""coordinates"": [-99.08820391, 19.43380448]}",Terminal Aérea,Metro 5
20,19,"19.44256606,-99.12323356","{""type"": ""Point"", ""coordinates"": [-99.12323356, 19.44256606]}",Tepito,Metro B
21,20,"19.37192372,-99.17099833","{""type"": ""Point"", ""coordinates"": [-99.17099833, 19.37192372]}",Hospital 20 de Nov.,Metro 12
22,21,"19.38628539,-99.15724397","{""type"": ""Point"", ""coordinates"": [-99.15724397, 19.38628539]}",Eugenia,Metro 3
23,22,"19.322002,-99.096696","{""type"": ""Point"", ""coordinates"": [-99.096696, 19.322002]}",Lomas Estrella,Metro 12
24,23,"19.45520174,-99.1430819","{""type"": ""Point"", ""coordinates"": [-99.1430819, 19.45520174]}",Tlatelolco_1,Metro 3
25,24,"19.35570839,-99.10157204","{""type"": ""Point"", ""coordinates"": [-99.10157204, 19.35570839]}",Atlalilco,Metro Línea 8 correspondencia con línea 12.
26,25,"19.41958866,-99.09606814","{""type"": ""Point"", ""coordinates"": [-99.09606814, 19.41958866]}",Blvd. Puerto Aéreo,Metro 1
27,26,"19.40575613,-99.1683054","{""type"": ""Point"", ""coordinates"": [-99.1683054, 19.40575613]}",Chilpancingo_1_2,Metro 9
28,27,"19.53444312,-99.02711391","{""type"": ""Point"", ""coordinates"": [-99.02711391, 19.53444312]}",Ciudad Azteca,Metro B
29,28,"19.41946724,-99.15023804","{""type"": ""Point"", ""coordinates"": [-99.15023804, 19.41946724]}",Niños Héroes_1,Metro 3
30,29,"19.45261196,-99.17546153","{""type"": ""Point"", ""coordinates"": [-99.17546153, 19.45261196]}",Popotla,Metro 2
31,30,"19.44553033,-99.19160843","{""type"": ""Point"", ""coordinates"": [-99.19160843, 19.44553033]}",San Joaquín,Metro 7
32,31,"19.32433595,-99.17407751","{""type"": ""Point"", ""coordinates"": [-99.17407751, 19.32433595]}",Universidad,Metro 3
33,32,"19.48983606,-99.14455175","{""type"": ""Point"", ""coordinates"": [-99.14455175, 19.48983606]}",Instituto del Petróleo_1,Metro Línea 6 correspondencia con línea 5.
34,33,"19.36449442,-99.10931826","{""type"": ""Point"", ""coordinates"": [-99.10931826, 19.36449442]}",Escuadrón 201,Metro 8
35,34,"19.388092,-99.112086","{""type"": ""Point"", ""coordinates"": [-99.112086, 19.388092]}",Iztacalco_1,Metro 8
36,35,"19.43336942,-99.14771676","{""type"": ""Point"", ""coordinates"": [-99.14771676, 19.43336942]}",Juárez_1_3,Metro 3
37,36,"19.40891333,-99.13542151","{""type"": ""Point"", ""coordinates"": [-99.13542151, 19.40891333]}",Chabacano_1_2,Metro Línea 2 correspondencia con línea 8 y línea 9.
38,37,"19.49067553,-99.18621182","{""type"": ""Point"", ""coordinates"": [-99.18621182, 19.49067553]}",Azcapotzalco_1,Metro 6
39,38,"19.45807473,-99.06927824","{""type"": ""Point"", ""coordinates"": [-99.06927824, 19.45807473]}",Bosque de Aragón,Metro B
40,39,"19.294555,-99.023829","{""type"": ""Point"", ""coordinates"": [-99.023829, 19.294555]}",Tlaltenco,Metro 12
41,40,"19.41014786,-99.12203193","{""type"": ""Point"", ""coordinates"": [-99.12203193, 19.41014786]}",Jamaica_1,Metro Línea 4 correspondencia con línea 9.
42,41,"19.44572255,-99.08683062","{""type"": ""Point"", ""coordinates"": [-99.08683062, 19.44572255]}",Oceanía_1,Metro Línea B correspondencia con línea 5.
43,42,"19.35760127,-99.09341812","{""type"": ""Point"", ""coordinates"": [-99.09341812, 19.35760127]}",Iztapalapa,Metro 8
44,43,"19.40820499,-99.11285877","{""type"": ""Point"", ""coordinates"": [-99.11285877, 19.40820499]}",Mixhuca,Metro 9
45,44,"19.40749665,-99.15531278","{""type"": ""Point"", ""coordinates"": [-99.15531278, 19.40749665]}",Centro Médico_1,Metro Línea 3 correspondencia con línea 9.
46,45,"19.42729875,-99.14912224","{""type"": ""Point"", ""coordinates"": [-99.14912224, 19.42729875]}",Balderas_1_2,Metro Línea 1 correspondencia con línea 3.
47,46,"19.408513,-99.135489","{""type"": ""Point"", ""coordinates"": [-99.135489, 19.408513]}",Chabacano,Metro Línea 9 correspondencia con línea 2 y línea 8.
48,47,"19.42720768,-99.14207339","{""type"": ""Point"", ""coordinates"": [-99.14207339, 19.42720768]}",Salto del Agua,Metro Línea 8 correspondencia con línea 1.
49,48,"19.42359552,-99.16325212","{""type"": ""Point"", ""coordinates"": [-99.16325212, 19.42359552]}",Insurgentes_1_5,Metro 1
50,49,"19.38459525,-99.03579354","{""type"": ""Point"", ""coordinates"": [-99.03579354, 19.38459525]}",Guelatao,Metro A
51,50,"19.438426,-99.11933","{""type"": ""Point"", ""coordinates"": [-99.11933, 19.438426]}",Morelos_1_2,Metro Línea B correspondencia con línea 4.
52,51,"19.426271,-99.109803","{""type"": ""Point"", ""coordinates"": [-99.109803, 19.426271]}",Moctezuma_1,Metro 1
53,52,"19.44424548,-99.1671896","{""type"": ""Point"", ""coordinates"": [-99.1671896, 19.44424548]}",Normal,Metro 2
54,53,"19.37073951,-99.1645503","{""type"": ""Point"", ""coordinates"": [-99.1645503, 19.37073951]}",Zapata,Metro Línea 3 correspondencia con línea 12.
55,54,"19.41179726,-99.08322573","{""type"": ""Point"", ""coordinates"": [-99.08322573, 19.41179726]}",Zaragoza,Metro 1
56,55,"19.4553839839,-99.1118390957","{""type"": ""MultiLineString"", ""coordinates"": [[[-99.1492832, 19.5008499], [-99.1449058, 19.4896945], [-99.1407001, 19.4790945], [-99.1369236, 19.4702742], [-99.1307974, 19.4634058], [-99.1193229, 19.458798], [-99.1139048, 19.4580545], [-99.105413, 19.4514081], [-99.0963578, 19.4511957], [-99.0871739, 19.4457529], [-99.0876889, 19.4338247], [-99.0874207, 19.4240913], [-99.0722072, 19.4153591]]]}",Línea 5,Línea 5
57,56,"19.3874343119,-99.1131150568","{""type"": ""MultiLineString"", ""coordinates"": [[[-99.1392624, 19.4427583], [-99.1419393, 19.4361922], [-99.1414833068848, 19.4306578806949], [-99.1422343, 19.4267827], [-99.1433448, 19.4216528], [-99.1441816, 19.4133303], [-99.1357434, 19.4084883], [-99.1262913, 19.4065657], [-99.1216993, 19.4027355], [-99.1135132, 19.398551], [-99.1122043, 19.3886637], [-99.1095865, 19.3793223], [-99.1077197, 19.3737557], [-99.1091895, 19.3650309], [-99.1013199, 19.3561791], [-99.0934932, 19.3578999], [-99.085511, 19.3560526], [-99.0747285, 19.3507281], [-99.0638816, 19.3459804]]]}",Línea 8,Línea 8
58,57,"19.4192706925,-99.1384946992","{""type"": ""MultiLineString"", ""coordinates"": [[[-99.2005488, 19.3982501], [-99.187097, 19.4031605], [-99.1821724, 19.4129053], [-99.1762608, 19.420813], [-99.1706067, 19.421926], [-99.1627908, 19.4236259], [-99.154653, 19.425867], [-99.149074, 19.42741], [-99.1422343, 19.4267827], [-99.1374546, 19.4265399], [-99.132911, 19.4257912], [-99.1246551, 19.4254927], [-99.1194355, 19.4288468], [-99.1148007, 19.4302734], [-99.1102624, 19.4272178], [-99.102264, 19.4232414], [-99.0960038, 19.4197101], [-99.0903497, 19.4164114], [-99.0823781, 19.412288], [-99.0722072, 19.4153591]]]}",Línea 1,Línea 1
59,58,"19.4188002448,-99.1561678117","{""type"": ""MultiLineString"", ""coordinates"": [[[-99.214788, 19.4634108], [-99.203158, 19.4587829], [-99.1870825, 19.4586984], [-99.182151, 19.457488], [-99.1747749, 19.4521567], [-99.1718835, 19.4489852], [-99.1673774, 19.4447058], [-99.1611063, 19.441782], [-99.1555005, 19.4397232], [-99.1471374, 19.4373152], [-99.1419393, 19.4361922], [-99.1369029, 19.4356521], [-99.1329861, 19.4332227], [-99.132911, 19.4257912], [-99.1345682, 19.416019], [-99.1357434, 19.4084883], [-99.1368914, 19.4008785], [-99.1378087, 19.3952064], [-99.1390371, 19.3874695], [-99.140260219574, 19.3795146127671], [-99.1415638, 19.369945], [-99.1429317, 19.3619032], [-99.1449916, 19.353284], [-99.142524, 19.3441988]]]}",Línea 2,Línea 2
60,59,"19.3780411661,-99.020768338","{""type"": ""MultiLineString"", ""coordinates"": [[[-99.0722072, 19.4153591], [-99.0698737, 19.4047948], [-99.0593863, 19.3987332], [-99.0463722, 19.3912849], [-99.0356326, 19.3851316], [-99.0170825, 19.3733205], [-99.0056777, 19.3647171], [-98.9952278137207, 19.3613566081823], [-98.9768708, 19.3590285], [-98.9609921, 19.3506572]]]}",Línea A,Línea A
61,60,"19.468965,-99.136176","{""type"": ""Point"", ""coordinates"": [-99.136176, 19.468965]}",La Raza_1_3,Metro Línea 5 correspondencia con línea 3.
62,61,"19.40894369,-99.12227869","{""type"": ""Point"", ""coordinates"": [-99.12227869, 19.40894369]}",Jamaica,Metro Línea 9 correspondencia con línea 4.
63,62,"19.41129131,-99.19138312","{""type"": ""Point"", ""coordinates"": [-99.19138312, 19.41129131]}",Constituyentes_1_2,Metro 7
64,63,"19.50096117,-99.04171586","{""type"": ""Point"", ""coordinates"": [-99.04171586, 19.50096117]}",Múzquiz,Metro B
65,64,"19.44048194,-99.09420133","{""type"": ""Point"", ""coordinates"": [-99.09420133, 19.44048194]}",Romero Rubio,Metro B
66,65,"19.44185787,-99.16094542","{""type"": ""Point"", ""coordinates"": [-99.16094542, 19.44185787]}",San Cosme,Metro 2
67,66,"19.36976784,-99.14130092","{""type"": ""Point"", ""coordinates"": [-99.14130092, 19.36976784]}",Portales,Metro 2
68,67,"19.40697045,-99.08233523","{""type"": ""Point"", ""coordinates"": [-99.08233523, 19.40697045]}",Puebla,Metro 9
69,68,"19.359804,-98.995894","{""type"": ""Point"", ""coordinates"": [-98.995894, 19.359804]}",Santa Marta,Metro A
70,69,"19.34400644,-99.14105415","{""type"": ""Point"", ""coordinates"": [-99.14105415, 19.34400644]}",Tasqueña,Metro 2
71,70,"19.3950293,-99.13758874","{""type"": ""Point"", ""coordinates"": [-99.13758874, 19.3950293]}",Xola_1,Metro 2
72,71,"19.44866652,-99.11589503","{""type"": ""Point"", ""coordinates"": [-99.11589503, 19.44866652]}",Canal del Norte_1,Metro 4
73,72,"19.44615757,-99.15289879","{""type"": ""Point"", ""coordinates"": [-99.15289879, 19.44615757]}",Buenavista_1_4,Metro B
74,73,"19.42288725,-99.10281658","{""type"": ""Point"", ""coordinates"": [-99.10281658, 19.42288725]}",Balbuena,Metro 1
75,74,"19.36186271,-99.14263129","{""type"": ""Point"", ""coordinates"": [-99.14263129, 19.36186271]}",Ermita,Metro 2
76,75,"19.45101356,-99.09598231","{""type"": ""Point"", ""coordinates"": [-99.09598231, 19.45101356]}",Aragón,Metro 5
77,76,"19.48358544,-99.12576556","{""type"": ""Point"", ""coordinates"": [-99.12576556, 19.48358544]}",Deportivo 18 de Marzo_1_4,Metro Línea 6 correspondencia con línea 3.
78,77,"19.35264126,-99.10632491","{""type"": ""Point"", ""coordinates"": [-99.10632491, 19.35264126]}",Atlalilco_1,Metro Línea 12 correspondencia con línea 8.
79,78,"19.42530549,-99.19173717","{""type"": ""Point"", ""coordinates"": [-99.19173717, 19.42530549]}",Auditorio,Metro 7
80,79,"19.33887391,-99.10894275","{""type"": ""Point"", ""coordinates"": [-99.10894275, 19.33887391]}",Culhuacán,Metro 12
81,80,"19.40397512,-99.12136674","{""type"": ""Point"", ""coordinates"": [-99.12136674, 19.40397512]}",Santa Anita,Metro Línea 8 correspondencia con línea 4.
82,81,"19.49054404,-99.14638638","{""type"": ""Point"", ""coordinates"": [-99.14638638, 19.49054404]}",Instituto del Petroleo,Metro Línea 6 correspondencia con línea 5.
83,82,"19.5039547,-99.20029879","{""type"": ""Point"", ""coordinates"": [-99.20029879, 19.5039547]}",El Rosario_1_2,Metro Línea 7 correspondencia con línea 6.
84,83,"19.44475133,-99.14501309","{""type"": ""Point"", ""coordinates"": [-99.14501309, 19.44475133]}",Guerrero_1_3,Metro Línea 3 correspondencia con línea B.
85,84,"19.41369961,-99.1531992","{""type"": ""Point"", ""coordinates"": [-99.1531992, 19.41369961]}",Hospital General_1,Metro 3
86,85,"19.42149092,-99.12033677","{""type"": ""Point"", ""coordinates"": [-99.12033677, 19.42149092]}",Fray Servando,Metro 4
87,86,"19.36030391,-99.1448307","{""type"": ""Point"", ""coordinates"": [-99.1448307, 19.36030391]}",Ermita_1,Metro Línea 12
88,87,"19.41616858,-99.07434225","{""type"": ""Point"", ""coordinates"": [-99.07434225, 19.41616858]}",Pantitlán_1_2,Metro Línea 1 correspondencia con líneas 5 9 y A.
89,88,"19.40559422,-99.1784656","{""type"": ""Point"", ""coordinates"": [-99.1784656, 19.40559422]}",Patriotismo_1_2,Metro 9
90,89,"19.397486,-99.200669","{""type"": ""Point"", ""coordinates"": [-99.200669, 19.397486]}",Observatorio,Metro 1
91,90,"19.35048513,-98.96061659","{""type"": ""Point"", ""coordinates"": [-98.96061659, 19.35048513]}",La Paz,Metro A
92,91,"19.45868169,-99.11988616","{""type"": ""Point"", ""coordinates"": [-99.11988616, 19.45868169]}",Valle Gómez,Metro 5
93,92,"19.306124,-99.065867","{""type"": ""Point"", ""coordinates"": [-99.065867, 19.306124]}",Tezonco,Metro 12
94,93,"19.40853892,-99.13574338","{""type"": ""Point"", ""coordinates"": [-99.13574338, 19.40853892]}",Chabacano_1,Metro Línea 8 correspondencia con línea 2 y línea 9.
95,94,"19.42917056,-99.11890984","{""type"": ""Point"", ""coordinates"": [-99.11890984, 19.42917056]}",Candelaria_1,Metro Línea 4 correspondencia con línea 1.
96,95,"19.489367,-99.194511","{""type"": ""Point"", ""coordinates"": [-99.194511, 19.489367]}",Aquiles Serdán,Metro 7
97,96,"19.406106,-99.125973","{""type"": ""Point"", ""coordinates"": [-99.125973, 19.406106]}",La Viga_1,Metro 8
98,97,"19.52084286,-99.03298259","{""type"": ""Point"", ""coordinates"": [-99.03298259, 19.52084286]}",Olímpica,Metro B
99,98,"19.35744944,-99.12191391","{""type"": ""Point"", ""coordinates"": [-99.12191391, 19.35744944]}",Mexicaltzingo,Metro 12
100,99,"19.499964,-99.148806","{""type"": ""Point"", ""coordinates"": [-99.148806, 19.499964]}",Politécnico,Metro 5
101,100,"19.317492,-99.074719","{""type"": ""Point"", ""coordinates"": [-99.074719, 19.317492]}",Periférico Ote,Metro 12
102,101,"19.431822,-99.114463","{""type"": ""Point"", ""coordinates"": [-99.114463, 19.431822]}",San Lázaro_1_4,Metro Línea B correspondencia con línea 1.
103,102,"19.38481791,-99.18661952","{""type"": ""Point"", ""coordinates"": [-99.18661952, 19.38481791]}",San Antonio,Metro 7
104,103,"19.29639028,-99.03402328","{""type"": ""Point"", ""coordinates"": [-99.03402328, 19.29639028]}",Zapotitlán,Metro 12
105,104,"19.28680057,-99.01443243","{""type"": ""Point"", ""coordinates"": [-99.01443243, 19.28680057]}",Tláhuac,Metro 12
106,105,"19.43674867,-99.14681554","{""type"": ""Point"", ""coordinates"": [-99.14681554, 19.43674867]}",Hidalgo_1_3,Metro Línea 3 correspondencia con línea 2.
107,106,"19.4376997,-99.14730906","{""type"": ""Point"", ""coordinates"": [-99.14730906, 19.4376997]}",Hidalgo_1_2,Metro Línea 2 correspondencia con línea 3.
108,107,"19.39604129,-99.15617108","{""type"": ""Point"", ""coordinates"": [-99.15617108, 19.39604129]}",Etiopía / Plaza de la Transpatencia,Metro 3
109,108,"19.45077077,-99.07917023","{""type"": ""Point"", ""coordinates"": [-99.07917023, 19.45077077]}",Deportivo Oceanía,Metro B
110,109,"19.484987,-99.048743","{""type"": ""Point"", ""coordinates"": [-99.048743, 19.484987]}",Impulsora,Metro B
111,110,"19.4840507,-99.12543297","{""type"": ""Point"", ""coordinates"": [-99.12543297, 19.4840507]}",Deportivo 18 de Marzo_1_3,Metro Línea 3 correspondencia con línea 6.
112,111,"19.45682033,-99.11388874","{""type"": ""Point"", ""coordinates"": [-99.11388874, 19.45682033]}",Consulado,Metro Línea 4 correspondencia con línea 5.
113,112,"19.47873042,-99.18894768","{""type"": ""Point"", ""coordinates"": [-99.18894768, 19.47873042]}",Camarones,Metro 7
114,113,"19.43547387,-99.13670897","{""type"": ""Point"", ""coordinates"": [-99.13670897, 19.43547387]}",Allende,Metro 2
115,114,"19.43098165,-99.14116144","{""type"": ""Point"", ""coordinates"": [-99.14116144, 19.43098165]}",San Juan de Letrán,Metro 8
116,115,"19.40074699,-99.13663387","{""type"": ""Point"", ""coordinates"": [-99.13663387, 19.40074699]}",Viaducto_1,Metro 2
117,116,"19.49031142,-99.15479779","{""type"": ""Point"", ""coordinates"": [-99.15479779, 19.49031142]}",Vallejo,Metro 6
118,117,"19.414885,-99.072516","{""type"": ""Point"", ""coordinates"": [-99.072516, 19.414885]}",Pantitlán_1_3,Metro Línea 9 correspondencia con líneas 1 5 y A.
119,118,"19.43973327,-99.11790133","{""type"": ""Point"", ""coordinates"": [-99.11790133, 19.43973327]}",Morelos_1_3,Metro Línea 4 correspondencia con línea B.
120,119,"19.42049932,-99.14335012","{""type"": ""Point"", ""coordinates"": [-99.14335012, 19.42049932]}",Doctores,Metro 8
121,120,"19.35877546,-98.97670984","{""type"": ""Point"", ""coordinates"": [-98.97670984, 19.35877546]}",Los Reyes,Metro A
122,121,"19.43649573,-99.14061427","{""type"": ""Point"", ""coordinates"": [-99.14061427, 19.43649573]}",Bellas Artes_1,Metro Línea 8 correspondencia con línea 2.
123,122,"19.42692438,-99.1488111","{""type"": ""Point"", ""coordinates"": [-99.1488111, 19.42692438]}",Balderas_1,Metro Línea 3 correspondencia con línea 1.
124,123,"19.478595,-99.140471","{""type"": ""Point"", ""coordinates"": [-99.140471, 19.478595]}",Autobuses del Norte,Metro 5
125,124,"19.3642515,-99.00597811","{""type"": ""Point"", ""coordinates"": [-99.00597811, 19.3642515]}",Acatitla,Metro A
126,125,"19.43880248,-99.15389657","{""type"": ""Point"", ""coordinates"": [-99.15389657, 19.43880248]}",Revolución_1,Metro 2
127,126,"19.43337954,-99.19079304","{""type"": ""Point"", ""coordinates"": [-99.19079304, 19.43337954]}",Polanco,Metro 7
128,127,"19.3272315,-99.10259128","{""type"": ""Point"", ""coordinates"": [-99.10259128, 19.3272315]}",San Andrés Tomatlán,Metro 12
129,128,"19.443376,-99.139954","{""type"": ""Point"", ""coordinates"": [-99.139954, 19.443376]}",Garibaldi,Metro Línea B correspondencia con línea 8.
130,129,"19.45112485,-99.10544515","{""type"": ""Point"", ""coordinates"": [-99.10544515, 19.45112485]}",Eduardo Molina_1,Metro 5
131,130,"19.39769,-99.113413","{""type"": ""Point"", ""coordinates"": [-99.113413, 19.39769]}",Coyuya_1,Metro 8
132,131,"19.36142746,-99.17056918","{""type"": ""Point"", ""coordinates"": [-99.17056918, 19.36142746]}",Coyoacán,Metro 3
133,132,"19.48823803,-99.16249037","{""type"": ""Point"", ""coordinates"": [-99.16249037, 19.48823803]}",Norte 45_1,Metro 6
134,133,"19.4875806,-99.13434863","{""type"": ""Point"", ""coordinates"": [-99.13434863, 19.4875806]}",Lindavista,Metro 6
