nombre,longitud,latitud
Lázaro Cárdenas,-99.14433718,19.40702104
Ferrería,-99.173702,19.49039233
Pantitlán,-99.07262564,19.4146103
Tacuba,-99.18803573,19.45913691
Martín Carrera,-99.10554171,19.48231101
Santa Anita,-99.12120581,19.40425847
Villa de Aragón,-99.06114578,19.4613523
Tezozómoc,-99.19593215,19.49448847
Tecnológico,-99.03568625,19.51470467
Colegio Militar,-99.17122364,19.44864628
Chapultepec,-99.17658806,19.42025648
Calle 11,-99.08486724,19.32025578
Constitución de 1917,-99.063367,19.345135
Copilco,-99.17657733,19.33597857
Talismán,-99.10779476,19.47415847
Terminal Aérea,-99.08820391,19.43380448
Tepito,-99.12323356,19.44256606
Hospital 20 de Nov.,-99.17099833,19.37192372
Eugenia,-99.15724397,19.38628539
Lomas Estrella,-99.096696,19.322002
Tlatelolco,-99.1430819,19.45520174
Atlalilco,-99.10157204,19.35570839
Blvd. Puerto Aéreo,-99.09606814,19.41958866
Chilpancingo,-99.1683054,19.40575613
Ciudad Azteca,-99.02711391,19.53444312
Niños Héroes,-99.15023804,19.41946724
Popotla,-99.17546153,19.45261196
San Joaquín,-99.19160843,19.44553033
Universidad,-99.17407751,19.32433595
Instituto del Petróleo,-99.14455175,19.48983606
Escuadrón 201,-99.10931826,19.36449442
Iztacalco,-99.112086,19.388092
Juárez,-99.14771676,19.43336942
Chabacano,-99.13542151,19.40891333
Azcapotzalco,-99.18621182,19.49067553
Bosque de Aragón,-99.06927824,19.45807473
Tlaltenco,-99.023829,19.294555
Jamaica,-99.12203193,19.41014786
Oceanía,-99.08683062,19.44572255
Iztapalapa,-99.09341812,19.35760127
Mixhuca,-99.11285877,19.40820499
Centro Médico,-99.15531278,19.40749665
Balderas,-99.14912224,19.42729875
Salto del Agua,-99.14207339,19.42720768
Insurgentes,-99.16325212,19.42359552
Guelatao,-99.03579354,19.38459525
Morelos,-99.11933,19.438426
Moctezuma,-99.109803,19.426271
Normal,-99.1671896,19.44424548
Zapata,-99.1645503,19.37073951
Zaragoza,-99.08322573,19.41179726
La Raza,-99.136176,19.468965
Constituyentes,-99.19138312,19.41129131
Múzquiz,-99.04171586,19.50096117
Romero Rubio,-99.09420133,19.44048194
San Cosme,-99.16094542,19.44185787
Portales,-99.14130092,19.36976784
Puebla,-99.08233523,19.40697045
Santa Marta,-98.995894,19.359804
Tasqueña,-99.14105415,19.34400644
Xola,-99.13758874,19.3950293
Canal del Norte,-99.11589503,19.44866652
Buenavista,-99.15289879,19.44615757
Balbuena,-99.10281658,19.42288725
Ermita,-99.14263129,19.36186271
Aragón,-99.09598231,19.45101356
Deportivo 18 de Marzo,-99.12576556,19.48358544
Auditorio,-99.19173717,19.42530549
Culhuacán,-99.10894275,19.33887391
Instituto del Petroleo,-99.14638638,19.49054404
El Rosario,-99.20029879,19.5039547
Guerrero,-99.14501309,19.44475133
Hospital General,-99.1531992,19.41369961
Fray Servando,-99.12033677,19.42149092
Patriotismo,-99.1784656,19.40559422
Observatorio,-99.200669,19.397486
La Paz,-98.96061659,19.35048513
Valle Gómez,-99.11988616,19.45868169
Tezonco,-99.065867,19.306124
Candelaria,-99.11890984,19.42917056
Aquiles Serdán,-99.194511,19.489367
La Viga,-99.125973,19.406106
Olímpica,-99.03298259,19.52084286
Mexicaltzingo,-99.12191391,19.35744944
Politécnico,-99.148806,19.499964
Periférico Ote,-99.074719,19.317492
San Lázaro,-99.114463,19.431822
San Antonio,-99.18661952,19.38481791
Zapotitlán,-99.03402328,19.29639028
Tláhuac,-99.01443243,19.28680057
Hidalgo,-99.14681554,19.43674867
Etiopía / Plaza de la Transpatencia,-99.15617108,19.39604129
Deportivo Oceanía,-99.07917023,19.45077077
Impulsora,-99.048743,19.484987
Consulado,-99.11388874,19.45682033
Camarones,-99.18894768,19.47873042
Allende,-99.13670897,19.43547387
San Juan de Letrán,-99.14116144,19.43098165
Viaducto,-99.13663387,19.40074699
Vallejo,-99.15479779,19.49031142
Doctores,-99.14335012,19.42049932
Los Reyes,-98.97670984,19.35877546
Bellas Artes,-99.14061427,19.43649573
Autobuses del Norte,-99.140471,19.478595
Acatitla,-99.00597811,19.3642515
Revolución,-99.15389657,19.43880248
Polanco,-99.19079304,19.43337954
San Andrés Tomatlán,-99.10259128,19.3272315
Garibaldi,-99.139954,19.443376
Eduardo Molina,-99.10544515,19.45112485
Coyuya,-99.113413,19.39769
Coyoacán,-99.17056918,19.36142746
Norte 45,-99.16249037,19.48823803
Lindavista,-99.13434863,19.4875806
Tacubaya,-99.18664098,19.40223457
Mixcoac,-99.18774605,19.37625563
Hangares,-99.087095,19.423251
Nopalera,-99.04621124,19.29939771
UAM-I,-99.074808,19.350327
Velódromo,-99.10283804,19.40811392
