nombre,longitud,latitud
lazaro cardenas,-99.14433718,19.40702104
ferreria,-99.173702,19.49039233
pantitlan,-99.07262564,19.4146103
tacuba,-99.18803573,19.45913691
martin carrera,-99.10554171,19.48231101
santa anita,-99.12120581,19.40425847
villa de aragon,-99.06114578,19.4613523
tezozomoc,-99.19593215,19.49448847
tecnologico,-99.03568625,19.51470467
colegio militar,-99.17122364,19.44864628
chapultepec,-99.17658806,19.42025648
calle 11,-99.08486724,19.32025578
constitucion de 1917,-99.063367,19.345135
copilco,-99.17657733,19.33597857
talisman,-99.10779476,19.47415847
terminal aerea,-99.08820391,19.43380448
tepito,-99.12323356,19.44256606
hospital 20 de nov.,-99.17099833,19.37192372
eugenia,-99.15724397,19.38628539
lomas estrella,-99.096696,19.322002
tlatelolco,-99.1430819,19.45520174
atlalilco,-99.10157204,19.35570839
blvd. puerto aereo,-99.09606814,19.41958866
chilpancingo,-99.1683054,19.40575613
ciudad azteca,-99.02711391,19.53444312
ninos heroes,-99.15023804,19.41946724
popotla,-99.17546153,19.45261196
san joaquin,-99.19160843,19.44553033
universidad,-99.17407751,19.32433595
instituto del petroleo,-99.14455175,19.48983606
escuadron 201,-99.10931826,19.36449442
iztacalco,-99.112086,19.388092
juarez,-99.14771676,19.43336942
chabacano,-99.13542151,19.40891333
azcapotzalco,-99.18621182,19.49067553
bosque de aragon,-99.06927824,19.45807473
tlaltenco,-99.023829,19.294555
jamaica,-99.12203193,19.41014786
oceania,-99.08683062,19.44572255
iztapalapa,-99.09341812,19.35760127
mixhuca,-99.11285877,19.40820499
centro medico,-99.15531278,19.40749665
balderas,-99.14912224,19.42729875
salto del agua,-99.14207339,19.42720768
insurgentes,-99.16325212,19.42359552
guelatao,-99.03579354,19.38459525
morelos,-99.11933,19.438426
moctezuma,-99.109803,19.426271
normal,-99.1671896,19.44424548
zapata,-99.1645503,19.37073951
zaragoza,-99.08322573,19.41179726
la raza,-99.136176,19.468965
constituyentes,-99.19138312,19.41129131
muzquiz,-99.04171586,19.50096117
romero rubio,-99.09420133,19.44048194
san cosme,-99.16094542,19.44185787
portales,-99.14130092,19.36976784
puebla,-99.08233523,19.40697045
santa marta,-98.995894,19.359804
tasquena,-99.14105415,19.34400644
xola,-99.13758874,19.3950293
canal del norte,-99.11589503,19.44866652
buenavista,-99.15289879,19.44615757
balbuena,-99.10281658,19.42288725
ermita,-99.14263129,19.36186271
aragon,-99.09598231,19.45101356
deportivo 18 de marzo,-99.12576556,19.48358544
auditorio,-99.19173717,19.42530549
culhuacan,-99.10894275,19.33887391
el rosario,-99.20029879,19.5039547
guerrero,-99.14501309,19.44475133
hospital general,-99.1531992,19.41369961
fray servando,-99.12033677,19.42149092
patriotismo,-99.1784656,19.40559422
observatorio,-99.200669,19.397486
la paz,-98.96061659,19.35048513
valle gomez,-99.11988616,19.45868169
tezonco,-99.065867,19.306124
candelaria,-99.11890984,19.42917056
aquiles serdan,-99.194511,19.489367
la viga,-99.125973,19.406106
olimpica,-99.03298259,19.52084286
mexicaltzingo,-99.12191391,19.35744944
politecnico,-99.148806,19.499964
periferico ote,-99.074719,19.317492
san lazaro,-99.114463,19.431822
san antonio,-99.18661952,19.38481791
zapotitlan,-99.03402328,19.29639028
tlahuac,-99.01443243,19.28680057
hidalgo,-99.14681554,19.43674867
etiopia / plaza de la transpatencia,-99.15617108,19.39604129
deportivo oceania,-99.07917023,19.45077077
impulsora,-99.048743,19.484987
consulado,-99.11388874,19.45682033
camarones,-99.18894768,19.47873042
allende,-99.13670897,19.43547387
san juan de letran,-99.14116144,19.43098165
viaducto,-99.13663387,19.40074699
vallejo,-99.15479779,19.49031142
doctores,-99.14335012,19.42049932
los reyes,-98.97670984,19.35877546
bellas artes,-99.14061427,19.43649573
autobuses del norte,-99.140471,19.478595
acatitla,-99.00597811,19.3642515
revolucion,-99.15389657,19.43880248
polanco,-99.19079304,19.43337954
san andres tomatlan,-99.10259128,19.3272315
garibaldi,-99.139954,19.443376
eduardo molina,-99.10544515,19.45112485
coyuya,-99.113413,19.39769
coyoacan,-99.17056918,19.36142746
norte 45,-99.16249037,19.48823803
lindavista,-99.13434863,19.4875806
tacubaya,-99.18664098,19.40223457
mixcoac,-99.18774605,19.37625563
hangares,-99.087095,19.423251
nopalera,-99.04621124,19.29939771
uam-i,-99.074808,19.350327
velodromo,-99.10283804,19.40811392
cuauhtemoc,-99.15455103,19.42565962
apatlaco,-99.10934,19.378298
aculco,-99.10739779,19.37292574
agricola oriental,-99.06982541,19.40404596
eje central,-99.15133238,19.36118453
pino suarez,-99.13303971,19.42543703
rio de los remedios,-99.04635072,19.49024062
potrero,-99.131748,19.476413
sevilla,-99.17074084,19.42189565
general anaya,-99.14478779,19.35319801
indios verdes,-99.119141,19.495315
la villa - basilica,-99.11815882,19.4814715
parque de los venados,-99.15766239,19.37046623
juanacatlan,-99.18207049,19.41290022
nativitas,-99.13987398,19.37938304
misterios,-99.13051844,19.46290002
barranca del muerto,-99.18895841,19.3614882
miguel angel de quevedo,-99.18053627,19.34651696
lagunilla,-99.13107634,19.44300109
olivos,-99.05831337,19.30328601
tepalcates,-99.04651165,19.39072824
zocalo,-99.131879,19.432602
gomez farias,-99.09070373,19.41608763
san pedro de los pinos,-99.18572903,19.39122414
refineria,-99.18985963,19.46911098
villa de cortes,-99.13862944,19.38746949
r. flores magon,-99.10342813,19.43628327
insurgentes sur,-99.17859435,19.37360387
viveros,-99.17542934,19.35376487
cerro de la estrella,-99.085872,19.355601
bondojito,-99.1117537,19.46450842
canal de san juan,-99.05969739,19.39821706
san antonio abad,-99.13429499,19.4159055
obrera,-99.14392948,19.41301153
plaza aragon,-99.02979612,19.52822456
panteones,-99.20294,19.458219
penon viejo,-99.0172863,19.37291562
division del norte,-99.15950775,19.3789276
cuitlahuac,-99.181555,19.45668
ciudad deportiva,-99.09135818,19.40811392
cuatro caminos,-99.214643,19.458454
isabel la catolica,-99.13782477,19.4260947
nezahualcoyotl,-99.054375,19.472534
merced,-99.12541151,19.42546738
